2018-07-31 16:03:26.55: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:44.36: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16544, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:44.83: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16512, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:45.39: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16498, current_battery : 25, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:45.87: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16471, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:46.31: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16498, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:46.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16471, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:47.36: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16447, current_battery : 10, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:47.84: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16480, current_battery : 14, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:48.39: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16570, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:48.85: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16480, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:49.31: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16512, current_battery : 12, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:49.88: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16461, current_battery : 10, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:50.37: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16489, current_battery : 11, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:50.82: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16589, current_battery : 0, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:51.38: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16512, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:51.86: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 594, voltage_battery : 16533, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:52.33: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16489, current_battery : 2, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:52.88: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16510, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:53.36: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16489, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:53.85: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16512, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:54.39: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16457, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:54.86: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 596, voltage_battery : 16498, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:55.33: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16579, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:55.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16489, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:56.37: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16569, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:56.92: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16519, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:57.40: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16548, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:57.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16494, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:58.43: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16635, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:58.90: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16570, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:59.48: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16489, current_battery : 1, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:06:59.93: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16480, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:00.41: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16433, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:00.96: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16493, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:01.43: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16498, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:01.91: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16475, current_battery : 1, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:02.46: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 592, voltage_battery : 16457, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:02.85: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 592, voltage_battery : 16480, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:03.42: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 596, voltage_battery : 16443, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:03.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16459, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:04.53: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16467, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:04.94: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16463, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:05.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16443, current_battery : 15, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:05.94: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16575, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:06.40: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16457, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:06.86: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 579, voltage_battery : 16508, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:07.45: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16503, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:07.90: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16593, current_battery : 1, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:08.35: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16475, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:08.92: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16586, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:09.40: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16472, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:09.85: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16475, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:10.43: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16461, current_battery : 2, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:10.90: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16480, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:11.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16484, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:11.94: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16484, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:12.39: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16551, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:12.97: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16459, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:13.44: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16489, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:13.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16489, current_battery : 12, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:14.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16457, current_battery : 13, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:14.92: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16480, current_battery : 10, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:15.40: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 593, voltage_battery : 16489, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:15.87: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16480, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:16.42: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16480, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:16.89: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16514, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:17.46: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16526, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:17.93: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16480, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:18.38: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 592, voltage_battery : 16494, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:18.96: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16484, current_battery : 13, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:19.45: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 594, voltage_battery : 16533, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:19.90: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16484, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:20.46: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 592, voltage_battery : 16484, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:20.93: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16484, current_battery : 12, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:21.38: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16489, current_battery : 2, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:21.96: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16494, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:22.44: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16480, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:22.91: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16494, current_battery : 2, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:07:23.45: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16494, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
